Date,Description,Amount
2026-03-01,Whole Foods Market,-82.45
2026-03-02,Netflix,-15.99
2026-03-03,Uber Trip,-12.30
2026-03-04,Salary Deposit,2500.00
2026-03-05,Starbucks Coffee,-6.75
2026-03-06,Shell Gas Station,-55.00
2026-03-07,Amazon Purchase,-34.99
2026-03-08,Planet Fitness,-29.99
2026-03-10,Trader Joe's,-67.20
2026-03-12,Lyft Ride,-18.50
2026-03-14,Restaurant El Buen Sabor,-42.00
2026-03-15,Spotify,-9.99
2026-03-16,CVS Pharmacy,-23.15
2026-03-18,Electricity Bill,-110.00
2026-03-20,Kroger Supermarket,-91.30
2026-03-22,Uber Eats,-28.40
2026-03-25,Movie Theater,-22.00
2026-03-27,H&M Clothing,-65.00
2026-03-28,Internet Bill,-59.99
2026-03-30,McDonald's,-11.25
